,University,2014 Authors Mean,2014 Authors Log Mean,2014 Authors Std,2014 Authors log Std,2015 Authors Mean,2015 Authors Log Mean,2015 Authors Std,2015 Authors log Std,2016 Authors Mean,2016 Authors Log Mean,2016 Authors Std,2016 Authors log Std,2017 Authors Mean,2017 Authors Log Mean,2017 Authors Std,2017 Authors log Std,2018 Authors Mean,2018 Authors Log Mean,2018 Authors Std,2018 Authors log Std,Authors Mean Change,Authors Mean Acc,Authors Std Change,Authors Std Acc
0,Massachusetts Institute of Technology (MIT),104.13125,102.85643294108289,18.14425593507489,1.1606595642125912,126.66875,125.65327727528062,17.817379814032698,1.1282493418456108,112.1006289308176,111.40722409542569,13.402897916511197,1.1135333328228902,125.1375,124.7518447480017,11.013904564231543,1.0771552477285922,148.13125,147.8918909996996,9.124227278926135,1.0561886216046816,11.0,0.15208333333332766,-2.255007164037189,-0.5209337214210716
1,Stanford University,80.44375,80.29437275710235,5.032080676767808,1.0620356459855462,115.76875,115.69305274748969,4.2664708410465,1.0364796005044163,128.6125,128.54161916185575,4.309854260877044,1.033613791496483,95.3375,95.2799216666623,3.427622171418542,1.0347967272422192,116.0875,116.0540366344416,2.804878562433672,1.0242277897419005,8.910937500000003,-4.858333333333334,-0.5568005285835339,0.047622075578812595
2,Harvard University - Cambridge,92.3625,92.12934654696816,6.587381403107007,1.073566281547126,118.775,118.68502822678786,4.658258794871749,1.0395469946795257,125.83125,125.78551749026005,3.408118753432742,1.0272672544230126,93.675,93.63181986997462,3.101511728173859,1.0295517577249562,115.60625,115.54752137518948,3.986064592740563,1.031181935150988,5.810937500000001,-1.493750000000001,-0.650329202591611,0.9378918242673208
3,California Institute of Technology (Caltech),78.14375,78.04710300338361,4.040183898970445,1.0500128903826313,81.70625,81.63286225483586,3.571758801696995,1.0426324243986695,104.41875,104.35679997469343,3.787267938435316,1.0341617858421102,122.15625,122.10303577834758,3.7890415592204842,1.0292266202915767,144.83125,144.81452570147874,2.23948061779959,1.015181065727806,16.671875000000004,6.370833333333337,-0.45017582029271364,-0.36037861471581484
4,University of Oxford,92.56875,92.10410330907563,10.123994934683639,1.1013071430208183,120.8125,120.5923598386495,7.886846248659853,1.0599594017327976,128.55,128.3726287429638,7.266188822209343,1.0520357478196916,96.96875,96.56803559989204,10.245378150048928,1.0882245784414035,117.35625,117.14431828716681,7.821722057034498,1.058812370688568,6.196875000000002,-2.618750000000001,-0.5755682194122851,-0.06216913566354817
5,University of Cambridge,86.09375,85.77743055769861,8.80681332477872,1.0818622185241085,115.31875,115.14054865999621,7.318104155961418,1.0534607652859505,125.7375,125.55068677966716,7.492902892070591,1.053586885738334,95.10625,94.6566193491579,10.778216964669992,1.0945410996616778,114.89375,114.66681770990841,8.101386358982015,1.0612022531193304,7.199999999999999,-3.1458333333333335,-0.176356741449176,-0.3960404789568918
6,ETH Zurich - Swiss Federal Institute of Technology,77.59375,77.53378829365963,3.2907006757680044,1.0386348906680283,82.8375,82.80959889528131,2.1877142752196903,1.0260711968790786,106.33125,106.28093729894069,3.302881081343983,1.0310949996177927,122.575,122.56600912578016,1.5105876340020785,1.0120808617606292,140.025,140.01052399345065,2.0339309231141574,1.0144114169452847,15.607812500000001,4.068749999999999,-0.31419243816346176,0.5421098965534643
7,Imperial College London,89.025,88.11731124892358,14.07166923289486,1.146750663394077,88.23125,87.62079831440371,11.655589793635516,1.118099092827196,109.125,108.72917214396716,10.081387553308325,1.0854313413246879,125.59375,125.26809647399797,10.23797885021746,1.070146742075545,147.61875,147.3853772935437,9.020027629530855,1.0554731882360076,14.6484375,7.606250000000003,-1.2629104008410015,0.3993760728575803
8,University of Chicago,105.8875,105.12711095826123,14.29334963365831,1.119985551221664,128.43125,127.6696720109101,15.770471566744634,1.1083206419524756,138.16875,136.8260393232691,22.047455033121167,1.1397318057207415,129.85,128.89479792531645,18.110839295847146,1.1201879127578467,154.33125,152.81276130568145,25.088025498980567,1.1397353317968275,12.110937500000002,0.645833333333338,2.698668966330564,1.8333547566823658
9,UCL,90.93125,90.67622175907154,6.9219956253597825,1.077191279343006,119.15094339622641,119.07024593939737,4.418640730185737,1.037353538877194,129.85,129.82429512661298,2.571964229922334,1.0201451337948257,94.875,94.8467919568673,2.496873044429772,1.0237730601026027,116.925,116.89651415522877,2.6799020504488555,1.0219207869992581,6.498437499999998,-2.0565644654088024,-1.0605233937277316,0.8954613003977098
