,corrupt

3,Alikhanov Institute for Theoretical and Experimental Physics
4,Alma Mater Studiorum Università di Bologna
15,Atommagkutató Intézete
23,Baylor University
27,Benemerita Universidad Autonoma de Puebla
31,Bogaziçi Üniversitesi
33,Book
34,Book Chapter
36,Boston University
40,Brown University
42,Brunel University London
46,CNRS Centre National de la Recherche Scientifique
47,CSIC-UC - Instituto de Física de Cantabria IFCA
48,California Institute of Technology
53,Carnegie Mellon University
56,Centro Brasileiro de Pesquisas Físicas
57,Centro de Investigacion y de Estudios Avanzados
58,"Centro de Investigaciones Energeticas, Medioambientales y Tecnologicas"
60,Charles University
63,Chonbuk National University
65,Chulalongkorn University
66,Cliniques Universitaires Saint-Luc
69,Conference Paper
72,Cornell University
79,Data Paper
80,Debreceni Egyetem
82,Demokritos National Centre for Scientific Research
84,Deutsches Elektronen-Synchrotron DESY
88,ETH Zürich
90,Editorial
95,Erratum
98,European Organization for Nuclear Research
102,Fermi National Accelerator Laboratory
105,Florida Institute of Technology
106,Florida International University
107,Florida State University
127,Helsingin Yliopisto
128,Helsinki Institute of Physics
132,IN2P3 Institut National de Physique Nucleaire et de Physique des Particules
133,"INFN, Laboratori Nazionali Di Frascati"
135,Imperial College London
138,Inserm
139,Institut de Physique Nucléaire de Lyon
140,Institut fiziki vysokikh energii
141,Institut fur Hochenergiephysik
142,Institute Ruder Boskovic
143,Institute for Nuclear Research and Nuclear Energy Bulgarian Academy of Sciences
144,"Institute for Studies in Theoretical Physics and Mathematics, Tehran"
145,Institute of High Energy Physics Chinese Academy of Science
147,Iranian Research Institute for Fundamental Sciences
151,Istanbul Teknik Üniversitesi
152,Istituto Nazionale di Fisica Nucleare - INFN
156,Johns Hopkins University
157,"Joint Institute for Nuclear Research, Dubna"
159,KU Leuven
160,Kansas State University
161,"Karlsruhe Institute of Technology, Campus North"
165,Korea University
168,Kyungpook National University
169,Laboratoire Leprince-Ringuet
171,Lappeenrannan Teknillinen Yliopisto
173,Lawrence Livermore National Laboratory
176,Letter
181,Lomonosov Moscow State University
193,Massachusetts Institute of Technology
198,Middle East Technical University METU
208,National Central University Taiwan
209,National Research Nuclear University MEPhI
210,National Science Center Kharkov Institute of Physics and Technology
211,National Taiwan University
212,National and Kapodistrian University of Athens
225,Northeastern University
226,Northern Mariana Islands
227,Northwestern University
229,Note
230,Ohio State University
232,P.N. Lebedev Physical Institute of the Russian Academy of Sciences
237,Panepistimion Ioanninon
238,Panjab University
241,Paul Scherrer Institut
242,Peking University
244,Petersburg Nuclear Physics Institute PNPI
247,Politecnico di Bari
249,Princeton University
251,Purdue University
252,Purdue University Calumet
254,Reunion
255,Review
256,Rheinisch-Westfälische Technische Hochschule Aachen
257,Rice University
261,"Rutgers, The State University of New Jersey"
262,Rutherford Appleton Laboratory
273,Scuola Normale Superiore di Pisa
275,Seoul National University
278,Short Survey
283,Sofia University St. Kliment Ohridski
292,Sungkyunkwan University
295,Sveučilište u Splitu
303,"Tata Institute of Fundamental Research, Mumbai"
304,Texas A and M University
305,Texas Tech University at Lubbock
307,The University of Alabama
318,UNESP-Universidade Estadual Paulista
326,Universidad Autonoma de San Luis Potosi
327,Universidad Autónoma de Madrid
328,Universidad Iberoamericana
329,Universidad de Cantabria
330,"Universidad de Los Andes, Colombia"
331,Universidad de Oviedo
332,Universidade do Estado do Rio de Janeiro
333,Universite Catholique de Louvain
334,Universite de Haute Alsace
335,Universite de Liege
336,Universiteit Antwerpen
337,Universiteit Gent
338,University College Dublin
339,"University at Buffalo, State University of New York"
340,University of Auckland
341,University of Belgrade
342,University of Bristol
343,"University of California, Davis"
344,"University of California, Los Angeles"
345,"University of California, Riverside"
346,"University of California, San Diego"
347,"University of California, Santa Barbara"
348,University of Canterbury
349,University of Colorado at Boulder
350,University of Cyprus
351,University of Delhi
352,University of Florida
353,University of Illinois at Chicago
354,University of Iowa
355,"University of Kansas, Lawrence"
356,University of Malaya
357,University of Maryland
358,University of Milano - Bicocca
359,University of Minnesota Twin Cities
360,University of Mississippi
361,University of Nebraska - Lincoln
362,University of Notre Dame
363,University of Rochester
364,University of Southampton
365,"University of Tennessee, Knoxville"
366,University of Virginia
367,University of Wisconsin-Madison
368,University of Zurich
369,"Università degli Studi del Piemonte Orientale Amedeo Avogadro, Novara"
370,Università degli Studi della Basilicata
371,Università degli Studi di Bari
372,Università degli Studi di Catania
373,Università degli Studi di Firenze
374,Università degli Studi di Genova
375,Università degli Studi di Napoli Federico II
376,Università degli Studi di Padova
377,Università degli Studi di Pavia
378,Università degli Studi di Perugia
379,Università degli Studi di Roma La Sapienza
380,Università degli Studi di Torino
381,Università degli Studi di Trieste
382,Università di Pisa
383,Universität Hamburg
384,Université Claude Bernard Lyon 1
385,Université de Lyon
386,Université de Mons
387,Université de Strasbourg
388,Université libre de Bruxelles ULB
389,Uniwersytet Warszawski
392,Vanderbilt University
397,Vilniaus universitetas
400,Vrije Universiteit Brussel
402,Wayne State University
407,École Polytechnique
